symbol,base,quote,name
BINANCE:1INCHUSDTPERP,1INCH,USDTPERP,
BINANCE:ADAUSDTPERP,ADA,USDTPERP,
BINANCE:AKROUSDTPERP,AKRO,USDTPERP,
BINANCE:ALGOUSDTPERP,ALGO,USDTPERP,
BINANCE:ALICEUSDTPERP,ALICE,USDTPERP,
BINANCE:ALPHAUSDTPERP,ALPHA,USDTPERP,
BINANCE:ANKRUSDTPERP,ANKR,USDTPERP,
BINANCE:ATAUSDTPERP,ATA,USDTPERP,
BINANCE:ATOMUSDTPERP,ATOM,USDTPERP,
BINANCE:BAKEUSDTPERP,BAKE,USDTPERP,
BINANCE:BALUSDTPERP,BAL,USDTPERP,
BINANCE:BANDUSDTPERP,BAND,USDTPERP,
BINANCE:BATUSDTPERP,BAT,USDTPERP,
BINANCE:BCHUSDTPERP,BCH,USDTPERP,
BINANCE:BELUSDTPERP,BEL,USDTPERP,
BINANCE:BLZUSDTPERP,BLZ,USDTPERP,
BINANCE:BNBUSDTPERP,BNB,USDTPERP,
BINANCE:BTCDOMUSDTPERP,BTCDOM,USDTPERP,
BINANCE:BTSUSDTPERP,BTS,USDTPERP,
BINANCE:BTTUSDTPERP,BTT,USDTPERP,
BINANCE:BZRXUSDTPERP,BZRX,USDTPERP,
BINANCE:CELRUSDTPERP,CELR,USDTPERP,
BINANCE:CHRUSDTPERP,CHR,USDTPERP,
BINANCE:CHZUSDTPERP,CHZ,USDTPERP,
BINANCE:COMPUSDTPERP,COMP,USDTPERP,
BINANCE:COTIUSDTPERP,COTI,USDTPERP,
BINANCE:CRVUSDTPERP,CRV,USDTPERP,
BINANCE:CTKUSDTPERP,CTK,USDTPERP,
BINANCE:CVCUSDTPERP,CVC,USDTPERP,
BINANCE:DASHUSDTPERP,DASH,USDTPERP,
BINANCE:DEFIUSDTPERP,DEFI,USDTPERP,
BINANCE:DENTUSDTPERP,DENT,USDTPERP,
BINANCE:DGBUSDTPERP,DGB,USDTPERP,
BINANCE:DODOUSDTPERP,DODO,USDTPERP,
