symbol,base,quote_asset,name
BINANCE:ACABUSD,ACA,BUSD,
BINANCE:AERGOBUSD,AERGO,BUSD,
BINANCE:ALGOBUSD,ALGO,BUSD,
BINANCE:ALICEBUSD,ALICE,BUSD,
BINANCE:ALPHABUSD,ALPHA,BUSD,
BINANCE:ANTBUSD,ANT,BUSD,
BINANCE:ARKBUSD,ARK,BUSD,
BINANCE:ATOMBUSD,ATOM,BUSD,
BINANCE:AUDBUSD,AUD,BUSD,
BINANCE:BADGERBUSD,BADGER,BUSD,
BINANCE:BAKEBUSD,BAKE,BUSD,
BINANCE:BALBUSD,BAL,BUSD,
BINANCE:BELBUSD,BEL,BUSD,
BINANCE:BETABUSD,BETA,BUSD,
BINANCE:BLZBUSD,BLZ,BUSD,
BINANCE:BNTBUSD,BNT,BUSD,
BINANCE:BSWBUSD,BSW,BUSD,
BINANCE:BURGERBUSD,BURGER,BUSD,
BINANCE:C98BUSD,C98,BUSD,
BINANCE:CHESSBUSD,CHESS,BUSD,
BINANCE:CHRBUSD,CHR,BUSD,
BINANCE:CHZBUSD,CHZ,BUSD,
BINANCE:CLVBUSD,CLV,BUSD,
BINANCE:COTIBUSD,COTI,BUSD,
BINANCE:CREAMBUSD,CREAM,BUSD,
BINANCE:CRVBUSD,CRV,BUSD,
BINANCE:CTSIBUSD,CTSI,BUSD,
BINANCE:CVCBUSD,CVC,BUSD,
BINANCE:CVPBUSD,CVP,BUSD,
BINANCE:DARBUSD,DAR,BUSD,
BINANCE:DEXEBUSD,DEXE,BUSD,
BINANCE:DODOBUSD,DODO,BUSD,
BINANCE:DUSKBUSD,DUSK,BUSD,
BINANCE:ELFBUSD,ELF,BUSD,
BINANCE:ENJBUSD,ENJ,BUSD,
BINANCE:FILBUSD,FIL,BUSD,
BINANCE:FISBUSD,FIS,BUSD,
BINANCE:FLOWBUSD,FLOW,BUSD,
BINANCE:FRONTBUSD,FRONT,BUSD,
BINANCE:FTMBUSD,FTM,BUSD,
BINANCE:GALABUSD,GALA,BUSD,
BINANCE:GALBUSD,GAL,BUSD,
BINANCE:GHSTBUSD,GHST,BUSD,
BINANCE:GLMRBUSD,GLMR,BUSD,
BINANCE:GRTBUSD,GRT,BUSD,
BINANCE:HARDBUSD,HARD,BUSD,
BINANCE:HIVEBUSD,HIVE,BUSD,
BINANCE:IMXBUSD,IMX,BUSD,
BINANCE:IQBUSD,IQ,BUSD,
BINANCE:JOEBUSD,JOE,BUSD,
BINANCE:KLAYBUSD,KLAY,BUSD,
BINANCE:LITBUSD,LIT,BUSD,
BINANCE:LPTBUSD,LPT,BUSD,
BINANCE:LTOBUSD,LTO,BUSD,
BINANCE:MATICBUSD,MATIC,BUSD,
BINANCE:MBOXBUSD,MBOX,BUSD,
BINANCE:MTLBUSD,MTL,BUSD,
BINANCE:NEOBUSD,NEO,BUSD,
BINANCE:NEXOBUSD,NEXO,BUSD,
BINANCE:NKNBUSD,NKN,BUSD,
BINANCE:NMRBUSD,NMR,BUSD,
BINANCE:OGBUSD,OG,BUSD,
BINANCE:OMGBUSD,OMG,BUSD,
BINANCE:ONTBUSD,ONT,BUSD,
BINANCE:OSMOBUSD,OSMO,BUSD,
BINANCE:PHABUSD,PHA,BUSD,
BINANCE:PLABUSD,PLA,BUSD,
BINANCE:POWRBUSD,POWR,BUSD,
BINANCE:PUNDIXBUSD,PUNDIX,BUSD,
BINANCE:PYRBUSD,PYR,BUSD,
BINANCE:QNTBUSD,QNT,BUSD,
BINANCE:QTUMBUSD,QTUM,BUSD,
BINANCE:RENBUSD,REN,BUSD,
BINANCE:REQBUSD,REQ,BUSD,
BINANCE:RNDRBUSD,RNDR,BUSD,
BINANCE:RUNEBUSD,RUNE,BUSD,
BINANCE:SANDBUSD,SAND,BUSD,
BINANCE:SFPBUSD,SFP,BUSD,
BINANCE:SNXBUSD,SNX,BUSD,
BINANCE:STGBUSD,STG,BUSD,
BINANCE:STORJBUSD,STORJ,BUSD,
BINANCE:STRAXBUSD,STRAX,BUSD,
BINANCE:STXBUSD,STX,BUSD,
BINANCE:SYSBUSD,SYS,BUSD,
BINANCE:TFUELBUSD,TFUEL,BUSD,
BINANCE:THETABUSD,THETA,BUSD,
BINANCE:TOMOBUSD,TOMO,BUSD,
BINANCE:TRBBUSD,TRB,BUSD,
BINANCE:UMABUSD,UMA,BUSD,
BINANCE:UNFIBUSD,UNFI,BUSD,
BINANCE:VOXELBUSD,VOXEL,BUSD,
BINANCE:WBTCBUSD,WBTC,BUSD,
BINANCE:WRXBUSD,WRX,BUSD,
BINANCE:XNOBUSD,XNO,BUSD,
BINANCE:YGGBUSD,YGG,BUSD,
BINANCE:ZENBUSD,ZEN,BUSD,
